"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FECAFAII_00752",1354.44043765308,-0.162291054779882,0.0764147253182525,-2.12381912130117,0.0336852714530527,0.0423421506551484
"FECAFAII_00671",10.104152784964,1.68541956802713,0.797520811478432,2.11332361960903,0.0345730784435133,0.0434391321990145
"yxdL_1",704.718067465959,0.21694091916647,0.102988110786806,2.10646566394014,0.0351639226546508,0.0441622015523038
"FECAFAII_00681",15.4722336685944,1.1096231338369,0.527451843742918,2.10374301843892,0.0354008697431483,0.0444403759848514
"tetR",956.294709216497,0.22130453297001,0.105230078086315,2.10305396512663,0.035461052432088,0.0444965038371226
"FECAFAII_02364",2.90515857675809,3.06381685042742,1.46337592204454,2.09366356537207,0.0362899607377215,0.0455167584307401
"FECAFAII_00680",18.8377430010436,1.03093823896845,0.49296589373297,2.09129729272282,0.0365014223620685,0.0457620273379726
"FECAFAII_02964",20.5515882784602,0.923350717424273,0.442690010695409,2.08577265155319,0.0369992218372089,0.0463659093698531
"FECAFAII_02862",89.6504300431663,0.454977112421838,0.218214609562779,2.08499840287249,0.0370694455081665,0.0464336782584873
"FECAFAII_02479",113.513358283585,-0.456883387918998,0.219730760268598,-2.07928733947175,0.0375909480936474,0.0470664199901305
"adhR",293.960707559032,0.27123539348783,0.130876712454313,2.07244962378249,0.0382235296206908,0.0478376288899507
"FECAFAII_00632",22.6843537698075,0.867191781892433,0.418907001678365,2.07012959539468,0.0384402100869415,0.0480878835189404
"FECAFAII_02992",6.32801607521348,1.78771867348796,0.864097056098824,2.06888642990991,0.0385567452862725,0.048212695410139
"lytA_2",336.093960346081,-0.26063142675131,0.126216942468359,-2.06494803038544,0.0389279178373303,0.0486556678401399
"FECAFAII_02835",161.039679312213,-0.368969325408215,0.178961075435913,-2.06172948228815,0.0392334980411167,0.0490163077177461
"mscL",4141.98166608238,0.138722198288156,0.067309366607086,2.06096425030914,0.0393064508153454,0.0490861278961934
"rspR_2",341.682008984478,-0.30272648888455,0.147778668071736,-2.04851277139402,0.0405097819915196,0.0505668980067753
"FECAFAII_01997",72.898174588578,-0.501485382979916,0.246140922559118,-2.03739133568685,0.0416108414355493,0.0519187765590628
"hemN",1668.13265985542,0.187407834298513,0.092136836446878,2.03401637744057,0.0419499442251135,0.0523191845582942
"FECAFAII_01905",96.6120218397699,0.435549674244573,0.214326937857705,2.03217420356998,0.0421360234391451,0.0525284800220985
"yutF",5523.21575192752,0.111880195544448,0.0552472973372806,2.0250799756127,0.0428591527175636,0.0534068124851442
"fsaA",26.4705620582955,0.895937408478424,0.442561892571655,2.02443414924922,0.0429255010614869,0.0534663235395567
"FECAFAII_01943",31.6584931558313,0.781325809740664,0.386817655264224,2.01988145863446,0.043395684965941,0.054028567083137
"hhaIM",10.8263487177856,1.30528871309846,0.647755775378511,2.0150939022284,0.0438948110436378,0.0546263420863273
"FECAFAII_00213",35.8175022692647,-0.719304668889675,0.357305315173542,-2.01313733197703,0.0441001837941135,0.0548581871072104
"yvoA_3",955.205432713323,-0.181980841812243,0.0905229499853389,-2.01032822993194,0.0443964609674487,0.0552028628371735
